container_id,ship_id
C3249202926,S5781664
C0731218381,S3201883
C5981880319,S1987861
C3985010162,S4459452
C3039721311,S7218161
C9796902936,S4380511
C2773642631,S1638406
C7867010112,S8415756
C9349576095,S4480379
C9855588788,S4128025
C9203711191,S9629137
C1194059022,S6417009
C0560147556,S7180984
C9298012308,S0847889
C9814661337,S5815243
C6743342453,S6406509
C7483074908,S4878182
C1678247709,S9804203
C3269177876,S1351719
C3310447930,S6611031
C0501750166,S7501294
C9448992976,S4878182
C7725829600,S0477059
C5177815446,S0469425
C3549359082,S0430701
C0078867416,S4313858
C7528033161,S0446096
C4227595620,S4380511
C9812024851,S6842553
C0669959887,S1392076
C5525348537,S3252598
C7274722323,S4216571
C0793327637,S2627719
C0416298181,S0575154
C3305768410,S3722816
C3364036934,S0210785
C0421231834,S7390545
C9895211956,S8980459
C4094741388,S6088364
C7854575342,S7525465
C1269761591,S1994266
C7291024625,S2865057
C0140065837,S6918733
C5563544769,S0210785
C2692627070,S5262380
C1063030420,S9007497
C5123771664,S2747553
C9575212455,S3782995
C3734833595,S9292431
C3588526165,S0376647
C3289911640,S1915439
C8786612129,S0446096
C9671208102,S1753345
C8994318432,S3429892
C0373986790,S2062847
C7969092450,S3805454
C8814595695,S8688920
C1228471502,S6665960
C2738890727,S8205074
C8444172608,S1638406
C9482512779,S0697800
C0516292481,S5110523
C8606944005,S1994266
C2213227468,S1973459
C2488056372,S2100952
C6986144790,S9933108
C1987512363,S4392759
C5678938453,S9500294
C1272244395,S5205261
C6259963583,S0198638
C0353328428,S2062847
C4285664778,S7287344
C7863769433,S7998808
C8672388369,S9013432
C2597334907,S7501294
C7099045300,S7501294
C1167852590,S6842553
C7621034781,S6109773
C0152620939,S8785520
C5262231478,S2747553
C3988103794,S1753345
C5540035909,S2062847
C8467766264,S1987861
C5031238116,S6983588
C8542871007,S9013432
C8487645148,S0575154
C5592785504,S7525465
C5744144836,S2625122
C0520934313,S4508997
C7930837943,S6639335
C6610260638,S0847889
C2125217448,S0446096
C4915435653,S6983588
C1040047042,S7781768
C7343170508,S8082687
C9510788169,S5794392
C7996909746,S4668935
C8451743504,S7747719
C7131722615,S6409870
C8293018553,S1915439
C6874824173,S9164628
C0712742879,S7796193
C9124392556,S0664890
C2991765269,S6849843
C5219810636,S0198638
C1099224764,S4480379
C4803215320,S5659908
C3576449289,S3245191
C3973432861,S0270241
C6127297132,S4063782
C3569998095,S3157111
C9844410025,S3245191
C1175490617,S1685719
C8970827805,S5610343
C9310903194,S8288871
C6434423067,S0430701
C1113465837,S3345325
C8169706607,S5112938
C5740453587,S8573710
C9488880360,S5205261
C5439607904,S1664442
C6921500227,S3324703
C0162068130,S1728881
C0284669063,S6783877
C9510873138,S6383317
C9132155487,S6918733
C7162907213,S4480379
C3636852405,S6383317
C3269263151,S3380224
C4049256945,S4350712
C4940948040,S7917790
C5435825963,S5610343
C4900051665,S4580829
C8076588256,S7781768
C2444866690,S4508997
C7924469628,S1570889
C8545342250,S9013432
C0691024265,S0847889
C0535225964,S5469654
C5076864947,S6163803
C0398797632,S6383317
C5275625026,S2627719
C6339527035,S8795628
C1715080151,S8980459
C4122566302,S5781664
C3966462357,S4350712
C2144981572,S4474821
C5459814499,S1485890
C6500991101,S7998808
C7008242146,S1031460
C8610117654,S1570889
C0841680291,S0102240
C1564122779,S7193420
C6946152858,S8795628
C3863228780,S6163803
C7405028938,S1351951
C8672903613,S1638406
C8494407325,S5661450
C8006207759,S8785520
C8768536184,S1253918
C3587349259,S6579957
C3141894750,S1638406
C7088372051,S6783877
C4481511951,S3245191
C8259734854,S6688776
C1452337959,S0270241
C9724179038,S2499002
C1328173006,S6383317
C7781970302,S2979576
C9423877729,S9164628
C5554929961,S4931889
C0589361829,S5659908
C6675277310,S1915439
C0001224662,S7855053
C4045786228,S6665960
C4785204418,S1351719
C9931106509,S8759167
C0667772158,S8094510
C8997851708,S6109773
C0319692659,S5659908
C5569255674,S6842553
C3666792389,S1987861
C8997370782,S3224812
C9087927838,S4878182
C4779630467,S7420526
C4864610715,S4313858
C9228723634,S5158506
C5944329559,S9047326
C5773775576,S0469425
C2554569227,S6437789
C7674052750,S4580829
C0675071216,S8980459
C6533339700,S7193420
C1563895924,S1570889
C5068850901,S0198638
C1633231584,S4459452
C9428125350,S6028024
C8770943865,S4350712
C0393688742,S8795628
C6882468152,S5781664
C7620713455,S9164628
C4223768323,S3306483
C0661982034,S8795628
C4608850813,S1048044
C5605449819,S9084180
C5319793870,S5029316
C0755038091,S7953646
C6623754293,S0575154
C8736209647,S5692945
C4048322282,S7636913
C9948970029,S0270241
C2000016450,S0839359
C9995517601,S3306483
C9998717973,S5708649
C9873159483,S6406509
C4221391024,S4459452
C1637837860,S5469654
C0164026495,S4931889
C5120350572,S5708649
C5133470310,S0839359
C8375285707,S7855053
C1231736222,S8099855
C3538337632,S9629137
C4231848713,S7501294
C0964999692,S8611717
C8300893303,S7917790
C7331787599,S5669150
C0632076048,S4063782
C8229419242,S6849843
C8288237542,S9292431
C0186692699,S5579887
C0713381362,S1994266
C7829029712,S7592991
C4890563708,S8205074
C6358560329,S3906787
C7871940430,S0198638
C8470599557,S8153108
C2620821763,S3252598
C0070987416,S9084180
C5295898000,S5029316
C1205555335,S0575154
C1270281732,S6103313
C5990394110,S5708649
C8372778055,S7644167
C7963294757,S6088364
C5168792499,S2100952
C8376334729,S3306483
C7968976719,S6103313
C4767676135,S6088364
C5227074745,S4712806
C3528035475,S1570889
C4582925084,S3306483
C0782144994,S5669150
C7450252803,S3454077
C4821840767,S2865057
C3591080055,S6842553
C0461520791,S5815243
C9481778711,S5630153
C9578988352,S1485890
C7597072448,S7441688
C7760573849,S4459452
C1237519171,S3142773
C5379316153,S1031460
C4296157028,S4216571
C5436441317,S4712806
C8639164481,S2619105
C8134405752,S4380511
C6640390018,S8288871
C6713248730,S1048044
C2474831193,S3388851
C6758046869,S2865057
C9904897508,S2062847
C0284511470,S4712806
C6610084839,S8785520
C7180097029,S7525465
C8518944866,S0446096
C7623171356,S5029316
C0719526284,S1392076
C3589156562,S1252352
C1460734939,S3380224
C3546712390,S0446096
C5915900434,S6665960
C7330097061,S1253918
C0036891583,S8688920
C7262420684,S0446096
C0686184998,S4216571
C7899926213,S3157111
C3573484517,S6409870
C7710277149,S2754116
C2782306307,S8415756
C2734072698,S5610343
C5485421255,S3782995
C0725173037,S9629137
C3631260681,S5579887
C4097868500,S6409870
C4974910066,S6417009
C7562987188,S1351951
C2019398306,S7966330
C7548832018,S6409870
C5646203701,S1685719
C5775653794,S3324703
C7339244831,S7821434
C4081061835,S3010385
C1048663600,S6409870
C2584841639,S2747553
C9296065633,S7193420
C9541717697,S3224812
C6746779550,S9629137
C0108691993,S5794392
C3296773005,S7029918
C5165751400,S8153108
C5462433081,S4842491
C2027562982,S1593485
C1834034435,S1252352
C8967587217,S6665960
C0658949629,S6409870
C0182610125,S6783877
C5007942403,S5920239
C1740485177,S1593485
C0193457767,S1351951
C5104996539,S0888907
C2492745177,S0888907
C1464141387,S2610311
C4473631226,S2769305
C5602585365,S5920239
C3405261869,S4712806
C2372261343,S7796193
C2709027915,S5744009
C8142868276,S5794392
C2435807904,S3252598
C3774460039,S2062847
C1744154411,S7781768
C5008437678,S7592991
C6000056276,S9998037
C2542467608,S5158506
C3456248287,S5815243
C6972755663,S1253918
C1230272685,S4216571
C8504751013,S8082687
C8866790123,S1638406
C8880177989,S0114669
C4324002332,S0198638
C3549285568,S6611031
C9418447570,S7135573
C1800921075,S8693906
C1846309329,S2213679
C3578546634,S5843529
C8580022791,S5815243
C4972021334,S6579957
C0107506490,S2619105
C8424786139,S0839359
C8660519132,S8415756
C2461369586,S5579887
C9389728992,S1685719
C0854107539,S3429892
C8104250564,S7441688
C8666082996,S2499002
C8948735661,S5692945
C2927682758,S5843529
C2945031257,S3157111
C2939780489,S3722816
C9097864376,S1915439
C8964398829,S8415756
C7151101885,S2625122
C7731995818,S5815243
C1120965168,S2666496
C9152623089,S4931889
C4028409628,S8573710
C2068787386,S9013432
C5861827467,S0446096
C0517481794,S7029918
C0443725266,S7680544
C7395336693,S6579957
C9548593778,S0430701
C5119480750,S1322708
C3515344099,S3429892
C4839899554,S6028024
C6725761981,S3429892
C5180418491,S7501294
C9678280844,S3805454
C8169959803,S4128025
C6349438585,S8795628
C9382785344,S5815243
C6269602520,S1031460
C7568635625,S6957173
C8776134090,S1322708
C2992491626,S8611717
C7436471054,S3722816
C5344906230,S9804203
C5350699848,S2062847
C6405248761,S4392759
C0663318873,S1987861
C2568191281,S4668935
C5577857288,S6028024
C1775049803,S5843529
C3119951812,S3324703
C0801041719,S2754116
C2366911920,S5469654
C3824350999,S5029316
C4482521227,S8759167
C8957625282,S4459452
C8696232536,S6665960
C6065461104,S6611031
C9123297254,S8980459
C1304514380,S2298004
C4392831431,S2619105
C2046336663,S3201883
C3122359939,S7821434
C4890178275,S9500294
C2170874228,S3157111
C6179183409,S6406509
C4870419021,S5920239
C1659227001,S8611717
C9131303259,S3245191
C2418333295,S4459452
C1237313199,S7193420
C0567406526,S2166341
C5289902727,S0343518
C6219662947,S4878182
C2487840154,S7680544
C8681834523,S5815243
C3177197047,S5579887
C4532534664,S0847889
C3609592306,S0210785
C9579645597,S8099855
C7968779003,S0664890
C1257478644,S5843529
C8518677029,S3906787
C9672774951,S2213421
C0587698093,S7953646
C0180383232,S1351951
C5584177779,S5158506
C0454988956,S2979576
C0445992149,S4216571
C9766289443,S6783877
C0129611405,S7855053
C9432948064,S9084180
C9137172300,S8288871
C4081295498,S6417009
C9299131764,S4580829
C1875702499,S4931889
C2031276956,S6409870
C7208400486,S0847889
C1304846727,S7781768
C9786174469,S7747719
C0202618736,S1351951
C4429670058,S5669150
C4943679001,S6409870
C8006113987,S2865057
C8590384662,S8205074
C2851696175,S9802156
C5881887838,S1728881
C9445329229,S3345325
C1798644117,S4063782
C1742220584,S6579957
C5247368512,S7592991
C9038317805,S9007497
C8038367353,S3245191
C7982769923,S0839359
C4501725628,S1485890
C2083859756,S5158506
C5091211796,S7644167
C1843766791,S8785520
C9562495665,S6409870
C2375999708,S1031460
C8610782879,S7998808
C5840179529,S0102240
C3182381588,S0575154
C6020594064,S7966330
C9508469679,S5708649
C3752952191,S1593485
C4495509771,S0343518
C5195842895,S7917790
C4158952691,S2625122
C4433428211,S5579887
C2742800903,S4216571
C4593577016,S2666496
C8598851263,S7644167
C1941693319,S1031460
C9404623614,S0198638
C0063405807,S1079584
C6212192305,S4474821
C5419518161,S2754116
C8969394375,S0210785
C2002387961,S8795628
C2711950220,S2754116
C5326539771,S7287344
C5968196382,S3722816
C0940461373,S3429892
C8528277883,S5262380
C5852121763,S1904861
C9769395219,S7441688
C8271866209,S1638406
C0539455395,S7420526
C0631552164,S5502062
C4229517676,S5669150
C9092894973,S1728881
C9650044571,S1987861
C9191545992,S0469425
C0180911627,S4508997
C0718960378,S4535873
C2812102927,S2610311
C4631800240,S0210785
C8002858187,S3306483
C1138884120,S2499002
C5732847349,S5469654
C4001340553,S7525465
C2832527392,S1048044
C1231673288,S0477059
C9843993951,S5781664
C6597946905,S7019261
C8406105170,S5469654
C5496811886,S7218161
C5953452015,S7796193
C7995796713,S1973459
C4643376318,S6842553
C1177527693,S1638406
C4540975524,S9804203
C7519880421,S6983588
C4189964449,S2619105
C0550444906,S3252598
C3277490760,S6109773
C3081695689,S5110523
C2882421379,S6849843
C5016681652,S3345325
C6980648758,S2166341
C4924557000,S2499002
C4988014432,S8153108
C3538745829,S9084180
C2981463198,S4535873
C3678495575,S2627719
C7514684426,S1904861
C6488226631,S8082687
C8166355469,S9629137
C0855711281,S2979576
C7351113001,S3306483
C5984577887,S6849843
C7139383737,S2166341
C7506386511,S8785520
C6947347368,S4128025
C4145313226,S1252352
C3293305678,S8759167
C1656500026,S9007497
C8680831948,S3722816
C4331529965,S6611031
C7727145266,S8288871
C3175467677,S5708649
C1558433378,S5469654
C0175773568,S6028024
C0804266290,S7636913
C7455952357,S8759167
C3369575314,S2666496
C4837776192,S7680544
C2679248954,S5843529
C6374165378,S7135573
C4348043896,S2979576
C8953933533,S6611031
C2408219338,S1994266
C4782386678,S9998037
C6340836125,S6783877
C1030317052,S5744009
C3280140557,S5744009
C6570769158,S5262380
C1199645770,S8415756
C1603456085,S7747719
C5758724146,S7029918
C9360361288,S1685719
C4118497290,S4580829
C2241845182,S5781664
C4926764659,S9934127
C6884963272,S0198638
C1485712378,S1685719
C9215412226,S2213679
C7085075832,S6028024
C4298989588,S6611031
C8681866840,S4128025
C0905344958,S1570889
C7794278660,S5610343
C3126585590,S6103313
C4356992200,S4508997
C5467606096,S0664890
C2361864134,S1915439
C2364039683,S1322708
C0609793224,S4380511
C7545682142,S3977574
C3276156406,S0114669
C0155658305,S6446154
C7038968045,S4842491
C0702273267,S7747719
C3925732976,S0888907
C3072605541,S0210785
C1066432255,S5744009
C9104051947,S1593485
C0182337619,S7029918
C9307409770,S0430701
C1488109935,S8153108
C0405369272,S5659908
C7755811751,S5205261
C7460968147,S6579957
C1714037093,S8415756
C9177899514,S3977574
C4743349458,S9013432
C7197273176,S3306483
C0263166454,S7218161
C9636064376,S1685719
C9825673715,S2666496
C9781093038,S1252352
C0020842594,S8795628
C4587873464,S6783877
C0442619668,S4480379
C1194559450,S1079584
C2615633674,S5794392
C6688350743,S4573506
C3696434722,S3805454
C3182256598,S3306483
C1191444023,S0888907
C5612634525,S5502062
C3258965071,S1763880
C6148254293,S9998037
C3543486904,S4313858
C4301382469,S6849843
C4618417179,S7636913
C5683326524,S7420526
C0524940480,S8759167
C9179018875,S4063782
C5048247647,S1079584
C8108464975,S8693906
C9595037792,S1351951
C4133194844,S5669150
C6792738956,S4313858
C0727960250,S1664442
C0603951351,S2747553
C3844559455,S8759167
C6091820447,S6957173
C8624667409,S5708649
C1925400753,S1079584
C9632726565,S0198638
C7638439336,S0839359
C6030544024,S4063782
C6228087725,S0448164
C7478249301,S5794392
C2267626109,S1392076
C1859820906,S8795628
C4426192126,S0469425
C3945855304,S6409870
C5288004817,S6417009
C7672813791,S9934127
C0027506138,S0114669
C9463375740,S7953646
C4293771242,S7966330
C4367664265,S0376647
C2572710365,S2213421
C3477589978,S1485890
C0724938410,S5262380
C1347890520,S3245191
C7099808932,S5110523
C8692280018,S0376647
C9867168480,S7680544
C1222887887,S4535873
C8992431411,S3345325
C0438140257,S2166341
C3318859177,S9013432
C3594167366,S7821434
C8024839636,S2213421
C2611296496,S9500294
C7511419152,S7855053
C8082341457,S5692945
C5528489484,S4380511
C8745850698,S1351951
C0818377786,S8288871
C6165609853,S6417009
C5075912402,S6688776
C0017094604,S9047326
C7451734224,S0102240
C7878848137,S0114669
C1691680146,S6665960
C1689872693,S5610343
C0985158272,S4508997
C3549875256,S5744009
C0959562091,S4380511
C0704607346,S1728881
C7438371882,S5815243
C0922520794,S1351951
C6835842877,S1593485
C6526246631,S6383317
C1076985274,S6409870
C9409099085,S9802156
C5387736258,S3306483
C6273250904,S5744009
C6810532077,S7636913
C6643164759,S7420526
C1170724268,S7029918
C3211871055,S5815243
C4068933714,S8573710
C2368352317,S7287344
C9528845603,S0575154
C3052424839,S4216571
C8550300712,S9084180
C8503499333,S3782995
C7211666873,S5815243
C9999164898,S4931889
C0711552084,S7019261
C5274638028,S1987861
C9719280779,S7287344
C3266469571,S0697800
C2150142193,S1763880
C6669908815,S5579887
C0808907038,S9292431
C0051679525,S4128025
C6067402697,S7747719
C2353448212,S4128025
C3506252129,S1973459
C3243092117,S0697800
C8333532441,S1987861
C0767783607,S5112938
C9428581737,S0430701
C6196689419,S7525465
C3478514453,S0376647
C7373002546,S1570889
C0596213219,S0839359
C8079388907,S7390545
C7952889436,S1322708
C3492010704,S6849843
C5213203169,S6708554
C9110473206,S7019261
C5407584584,S6103313
C2732299310,S5815243
C4539120811,S7781768
C4489825450,S3224812
C3030577311,S7747719
C6739015620,S6708554
C8601222067,S4508997
C0841010263,S0376647
C2670325926,S8785520
C0583780116,S1322708
C9314717770,S0430701
C9070220030,S4350712
C8048035164,S8785520
C2567577928,S6417009
C0288139404,S5469654
C6270402068,S6417009
C7255103166,S1048044
C6943039709,S6579957
C7416040502,S5630153
C7048603758,S0114669
C0842462466,S0697800
C2650072767,S7287344
C1395854767,S5469654
C2580424890,S9500294
C0175100539,S9084180
C9711493999,S4580829
C4907515698,S8611717
C3841311831,S4392759
C0578508895,S5262380
C3215822962,S3157111
C3348289800,S4878182
C9976326887,S1392076
C4563847410,S1987861
C9510458851,S3245191
C7209999530,S6665960
C1156576207,S3010385
C1409802730,S7917790
C9953871951,S7287344
C3712877051,S8688920
C0285222700,S2754116
C5083874486,S1664442
C3659634019,S4508997
C0524589872,S8693906
C9975607668,S2754116
C0138030233,S5661450
C9247324171,S3142773
C4354021917,S5112938
C9845544702,S2213679
C7585389995,S7966330
C4733468092,S8205074
C0926928236,S6163803
C6425866900,S2769305
C5856758602,S3429892
C9474230879,S4313858
C9389272583,S4459452
C1665151728,S2754116
C4017137888,S9934127
C6957942758,S0575154
C9151383908,S4313858
C7389955075,S3977574
C5839926580,S2625122
C3880587303,S6446154
C6993289858,S5469654
C1404971878,S5112938
C3235110230,S0102240
C2830127799,S1915439
C8278297547,S1685719
C6671796634,S2619105
C1107938382,S9998037
C8708251221,S4580829
C3318063074,S6983588
C8659084553,S0847889
C5539910833,S7747719
C1910911949,S5110523
C5104283436,S8693906
C1208041065,S7525465
C7996141998,S7636913
C9517647098,S5744009
C3475994601,S2100952
C4906554920,S1392076
C5354115224,S2769305
C4086811628,S5205261
C5359807420,S0448164
C8486846507,S8099855
C8185455412,S1322708
C4207555189,S1728881
C1740197134,S6918733
C2492363688,S6417009
C5812307378,S4350712
C5355961082,S6849843
C9737284318,S3380224
C5947196939,S6611031
C0543936965,S0664890
C1864242890,S2666496
C2923129277,S3142773
C5994500324,S3454077
C8861992679,S6708554
C6886871179,S5205261
C2702701748,S9084180
C4318321138,S2062847
C7922905369,S3906787
C4620941955,S0888907
C1188529818,S2610311
C5207238120,S0430701
C1758459944,S2747553
C5131351525,S6918733
C3146859890,S7525465
C7868154324,S0114669
C7745942996,S6842553
C9291862637,S9013432
C7712944982,S3245191
C3214802991,S7796193
C1714980661,S7680544
C2763309039,S3805454
C7031954983,S5610343
C3481054110,S8688920
C9174686041,S1987861
C3343619987,S3782995
C1825790504,S1392076
C9437123526,S4668935
C2103302772,S6611031
C4158985021,S5669150
C2992092722,S2166341
C7664266374,S5205261
C3922168267,S2979576
C7351817742,S8415756
C6028629309,S7855053
C6946499906,S6957173
C5900228504,S7135573
C8630478284,S1351951
C0089204150,S6983588
C7845484426,S4350712
C3844622946,S5843529
C4744842215,S7855053
C3147306889,S7680544
C3466256568,S5029316
C2345237849,S7218161
C3010481841,S1664442
C0949413679,S2610311
C5870654901,S1485890
C9542352921,S6708554
C0782240070,S7420526
C3573254201,S5920239
C3565077930,S3245191
C7751502637,S2625122
C0810662198,S1638406
C7105243208,S3224812
C2513312750,S9292431
C2524385949,S0448164
C0771479427,S2666496
C9009676766,S9933108
C9455594956,S2298004
C2693920677,S6842553
C7091477728,S7525465
C4701675662,S2865057
C6067036722,S2865057
C6969026149,S2213679
C2058402853,S6406509
C3065418045,S7917790
C9185548173,S8415756
C0796289202,S1392076
C8538432169,S3429892
C2930968909,S3201883
C2559789792,S6918733
C6141870629,S1253918
C3315156568,S6688776
C7775927759,S4474821
C1570028983,S6783877
C8062778465,S2610311
C6940795577,S9164628
C6239504570,S5669150
C9665760027,S3157111
C0660645044,S9629137
C8753555031,S7917790
C8184931427,S5815243
C2616652078,S3010385
C1235121452,S6688776
C3039702649,S2100952
C7032988526,S7029918
C7994606258,S6639335
C1660928359,S5158506
C9033881125,S7796193
C0553886017,S4931889
C1075270041,S1994266
C6371961641,S4573506
C1176196841,S5659908
C4587602136,S4313858
C4582020760,S6957173
C2788937461,S0210785
C0067011835,S5579887
C3295165998,S6088364
C5393032595,S7180984
C2391194011,S8759908
C6704414259,S0114669
C2638184417,S5794392
C1340941088,S5843529
C4006042192,S7680544
C4357976996,S9629137
C6411078269,S9013432
C2890276883,S4931889
C2730855537,S7180984
C7552942027,S6665960
C2529376074,S5158506
C6351603760,S6783877
C5622458618,S7218161
C4418002575,S3380224
C0127525765,S1253918
C4408795116,S2979576
C0704565633,S2213679
C6494273572,S3324703
C8002011978,S3324703
C3524230256,S7796193
C7978550467,S4313858
C5541764418,S3782995
C3889682795,S3977574
C9265243681,S7390545
C5441324231,S9802156
C9625721112,S1728881
C4415153025,S3388851
C4939195734,S7525465
C0978101544,S8759908
C1118368037,S7193420
C6970351997,S0448164
C1673162244,S5579887
C6000723167,S1728881
C7810821115,S5469654
C7457126619,S7193420
C1208376293,S1351951
C8463708144,S7636913
C0264428227,S3345325
C1501249630,S4508997
C4457172784,S4313858
C1876805311,S5744009
C3322779876,S5692945
C3854489175,S1351719
C8354955311,S9934127
C0601281776,S4350712
C3675645629,S0888907
C8346022860,S3977574
C3509800338,S7193420
C5644950895,S2754116
C4819004572,S5630153
C4007781159,S5794392
C5403864230,S2754116
C4054557935,S3345325
C3126897110,S8759167
C7375434801,S5781664
C8414755909,S1322708
C9162390340,S1485890
C8385655787,S7966330
C9901992809,S3157111
C2477167175,S2979576
C3080403001,S6639335
C6059330487,S6639335
C4699179606,S7441688
C8248704902,S9629137
C2150576484,S1685719
C7977946891,S0477059
C6693146941,S7644167
C7113568500,S7420526
C3213400350,S4128025
C6689700371,S1079584
C7400690611,S7287344
C9671714391,S5469654
C3634157268,S7420526
C8293698495,S0469425
C5308817892,S8415756
C8359049627,S8759908
C0643816158,S7636913
C1324625462,S3380224
C0688609597,S2627719
C9853281977,S2166341
C3015095523,S4350712
C5549842806,S6088364
C5036939052,S8205074
C4415948588,S6957173
C6238528333,S4535873
C4844601482,S0575154
C1247783373,S1252352
C1802546655,S0114669
C0939546205,S9084180
C3555571808,S0102240
C9356055772,S1685719
C0347437311,S6028024
C5803495205,S5630153
C1674301109,S7525465
C2581395088,S0839359
C3187121612,S6437789
C6844352060,S5781664
C9187723484,S1485890
C1588494019,S1392076
C1105586613,S6579957
C1768939639,S8573710
C2808228083,S7501294
C3165653627,S0469425
C5793813116,S5502062
C6713272789,S6103313
C3016263785,S5744009
C3416532889,S5781664
C4677912125,S7592991
C0062425498,S5669150
C7781634225,S7644167
C8522346810,S7287344
C8731890003,S4878182
C6067570974,S5469654
C9138864262,S7180984
C8620346193,S1570889
C5121350362,S6665960
C9247083491,S3805454
C6626999365,S1392076
C7766578542,S4392759
C5083962506,S2062847
C7105661295,S6409870
C1434011605,S8205074
C5705421666,S4313858
C1640943938,S4480379
C3847926940,S7287344
C0732361641,S3977574
C5111707877,S5669150
C1471027267,S9013432
C3708680300,S7644167
C3638347494,S6417009
C9984794658,S9998037
C9568937774,S8415756
C0784395537,S1593485
C0095646612,S0888907
C1023564019,S3306483
C2375542443,S0430701
C5611014136,S5610343
C6432062420,S1593485
C6418088027,S1322708
C5077516565,S7180984
C1932556533,S8153108
